Polyglot,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUTTON_PARTY_HINT,,Play with your friends locally!,Jouez avec vos amis localement !,¡Juega con tus amigos en modo local!,Spiele lokal mit deinen Freunden!,Gioca con i tuoi amici in locale!,Jogue com seus amigos localmente!,,Играйте со своими друзьями локально!,,,Spil lokalt med dine venner!,,Spela lokalt med dina vänner!,Speel met je vrienden lokaal,Zagraj ze znajomymi lokalnie!,,ローカルで友だちと一緒にプレイしよう！,与你的朋友一起进行本地游戏！,與你的朋友在同一臺電腦上進行遊戲,지역에서 친구와 플레이하세요!,,Játssz az ugyanabban a szobában lévő barátaiddal!,Joacă local cu prietenii tăi!,,,שחקו עם חבריכם בצורה קרובה!,,,,
LABEL_HOW_TO_PLAY,,How To Play,Guide de jeu,Cómo Jugar,So spielst du,Come Giocare,Como Jogar,,Как играть,,,Sådan Spiller Du,,Hur Man Spelar,Speluitleg,Jak Grać,,プレイの方法,如何进行游戏,如何遊玩,플레이 방법,,Ismertető,Instrucțiuni,,,כיצד לשחק,كيفية اللعب,,,
BUTTON_CREDITS,,Credits,Crédits,Créditos,Mitwirkende,Riconoscimenti,Créditos,,Титры,,,Medvirkende,,Lista över medverkande,Credits,Napisy,,クレジット,鸣谢,感謝,크레딧,,Készítők,Autori / contribuții,,,תודות,شكر وتقدير,,,
MENU_FLOOR_ADJUST,,Floor Adjust,Ajustement du sol,Ajuste del Suelo,Bodenanpassung,Regolazione pavimento,Ajustar Piso,,Настройка пола,,,Gulv Justér,,Justera golvet,Vloer aanpassen,Dopasowanie Podłogi,,床調整,地面调整,地面調整,바닥 조절,,Padló beállítása,Ajustare etaj,,,הגדרת הרצפה,تعديل الأرضية,,,
BUTTON_SETTINGS,,Settings,Paramètres,Ajustes,Einstellungen,Impostazioni,Configurações,,Настройки игры,,,Indstillinger,,Inställningar,Instellingen,Ustawienia,,設定,设置,設定,설정,,Beállítások,Setări,,,הגדרות,الإعدادات,,Stillingar,
BUTTON_QUIT,,Quit,Quitter,Salir,Verlassen,Esci,Sair,,Выход,,,Luk,,Lämna,Verlaten,Wyjdź,,終了,退出,退出,나가기,,Kilépés,Închide,,,צא,خروج,,Hætta,
BUTTON_BASICS,,Basics,Bases,Aspectos Básicos,Grundlagen,Basi,Básico,,Основы,,,Grundlæggende,,Grunderna,Basis,Podstawy,,基礎,基础规则,基礎規則,기본,,Alapok,Elemente de bază,,,יסודות,الأساسيات,,,
BUTTON_SCORE_SYSTEM,,Score System,Système de score,Sistema de Puntuación,Punktesystem,Sistema del Punteggio,Sistema de Pontuação,,Система очков,,,Resultat System,,Pöangsystem,Score systeem,System punktacji,,スコアシステム,评分系统,分數系統,점수 체계,,Pontrendszer,Sistem de Scor,,,מערכת הניקוד,نظام النقاط,,,
BUTTON_LOCAL_PLAYER,,Local Player,Joueur local,Jugador Local,Lokaler Spieler,Giocatore Locale,Reprodutor Local,,Локальный игрок,,,Lokal spiller,,Lokal spelare,Lokale speler,Gracz Lokalny,,ローカルプレイヤー,本地玩家,本地玩家,로컬 플레이어,,Helyi játékos,Jucător local,,,שחקן/ית מקומי/ת,لاعب محلي,,,
BUTTON_GUEST_PLAYER,,Guest Player,Joueur invité,Jugador Invitado,Gastspieler,Giocatore Ospite,Jogador Convidado,,Гостевой игрок,,,Gæste Spiller,,Gästspelare,Gast speler,Gość,,ゲストプレイヤー,游客,遊客,게스트 플레이어,,Vendégjátékos,Jucător vizitator,,,שחקן/ית אורח/ת,ضيف,,,
BUTTON_HIGHSCORES_ALL_TIME,,All Time,Tous temps,Desde el comienzo,Alle Zeiten,Di Sempre,Todos os Tempos,,Всё время,,,Alletiders,,Alltid,Ter alle tijden,Wszechczasów,,全期間,所有,所有時間,역대,,Összes,Din toate timpurile,,,כל הזמן,,,,
BUTTON_HIGHSCORES_TODAY,,Today,Aujourd'hui,Hoy,Heute,Oggi,Hoje,,Сегодня,,,I dag,,Idag,Vandaag,Dzisiaj,,今日,今日,今天,오늘,,Ma,Azi,,,היום,اليوم,,,
BUTTON_HIGHSCORES_CLEAR_ALL,,Clear All,Tout effacer,Eliminar Todo,Alle löschen,Cancella Tutto,Limpar Tudo,,Очистить всё,,,Ryd alt,,Ta bort alla,Alles wissen,Wyczyść Wszystko,,履歴を削除,清除,清除全部,모두 지우기,,Összes törlése,Șterge tot,,,נקה הכל,مسح الكل,,,
BUTTON_HIGHSCORES_GLOBAL,,Global,Mondial,Global,Global,Globale,Global,,Весь мир,,,Global,,Global,Wereldwijd,Globalne,,グローバル,全球,全球,글로벌,,Világ,Global,,,עולמי,عالمي,,,
BUTTON_HIGHSCORES_AROUND_YOU,,Around You,À proximité,A tu Alrededor,In deiner Nähe,Intorno a te,Perto de Você,,Поблизости,,,I nærheden af dig,,Omkring dig,Rondom jou,Wokół Ciebie,,ローカル,相近的玩家,附近的玩家,근처,,Közelben,În apropiere,,,ברמתכם,حولك,,,
BUTTON_HIGHSCORES_FRIENDS,,Friends,Amis,Amigos,Freunde,Amici,Amigos,,Друзья,,,Venner,,Vänner,Vrienden,Znajomi,,友だち,好友,好友,친구,,Barátok,Prieteni,,,חברים,الأصدقاء,,,
BUTTON_MODIFIERS,,Modifiers,Modificateurs,Modificadores,Modifikatoren,Modificatori,Modificadores,,Модификаторы,,,,,Modifierare,Modifiers,Modyfikatory,,ルール変更,修改项,遊戲修改器,모디파이어,,Módosítók,Modificatori,,,שינויים,المعدلات,,,
BUTTON_BUY_LEVEL,,Buy Level,Acheter le niveau,Comprar Nivel,Level kaufen,Acquista Livello,Comprar Nível,,Купить уровень,,,,,Köpa Nivå,Koop level,Kup Poziom,,ステージを購入,购买歌曲,購買歌曲,레벨 구매,,Pálya megvásárlása,Cumpără nivel,,,קנה שלב זה,اشتري المرحلة,,,
BUTTON_BUY_MUSIC_PACK,,Buy Music Pack,Acheter le pack,Comprar Paquete Musical,Musikpaket kaufen,Acquista Music Pack,Comprar Pacote de Música,,Купить набор музыки,,,,,Köpa Musikpack,Koop muziekpak,Kup Pakiet Muzyczny,,音楽パックを購入,购买歌曲包,購買歌曲包,뮤직 팩 구매,,Zenecsomag megvásárlása,Cumpără pachet de muzică,,,קנה חבילת שלבים זו,شراء حزمة الموسيقى,,,
BUTTON_RESET_ROOM,,Reset Room,Réinitialiser,Reiniciar,Raum zurücksetzen,Reimposta Stanza,Redefinir Sala,,Сброс комнаты,,,,,Återställa Rummet,Reset ruimte,Zresetuj Pokój,,ルームをリセット,重置房间,重置房間,공간 초기화,,Szoba visszaállítása,Resetează camera,,,איפוס חדר,إعادة ضبط الغرفة,,,
BUTTON_MENU,,Menu,Menu,Menú,Menü,Menù,Menu,,Меню,,,,,Meny,Menu,Menu,,メニュー,菜单,選單,메뉴,,Menü,Meniu,,,תפריט,,,,
BUTTON_RESTART,,Restart,Recommencer,Reiniciar,Neustarten,Riavvia,Reiniciar,,Повтор,,,,,Starta om,Herstart,Restart,,Restart,重新开始,重新開始,재시작,,Újraindít,Restart,,,התחל מחדש,,,,
STATS_ALL,,All,Toutes,Todo,Alle,Tutto,Tudo,,Все,,,,,Alla,Gecombineerd,Wszystkie,,すべて,全部,所有,전체,,Összes,Toate,,,הכל,,,,
STATS_LEVELS_PLAYED,,Levels Played,Niveaux tentés,Niveles Jugados,Gespielte Level,Livelli Giocati,Níveis Jogados,,Уровней сыграно,,,,,Antal nivåer spelad,Levels gespeeld,Rozegrane Poziomy,,プレイ済みのステージ,游玩关卡数,遊玩關卡數,플레이한 레벨,,Lejátszott pálya,Nivele jucate,,,השלבים ששיחקתם,,,,
STATS_LEVELS_CLEARED,,Levels Cleared,Niveaux terminés,Niveles Terminados,Abgeschlossene Level,Livelli Completati,Níveis Concluídos,,Уровней пройдено,,,,,Antal nivåer klarad,Levels gecleared,Ukończone Poziomy,,クリア済みのステージ,通过关卡数,通過關卡數,완료한 레벨,,Befejezett pálya,Nivele completate,,,השלבים שעברתם,,,,
STATS_LEVELS_FAILED,,Levels Failed,Niveaux échoués,Niveles Fallidos,Fehlgeschlagene Level,Livelli Falliti,Níveis Falhados,,Неудачных уровней,,,,,Antal nivåer misslyckat,Levels gefaald,Nieudane Poziomy,,クリアに失敗したステージ,失败关卡数,失敗關卡數,실패한 레벨,,Sikertelen pálya,Nivele eșuate,,,שלבים שנכשלתם,,,,
STATS_TOTAL_PLAYED_TIME,,Total Played Time,Temps de jeu total,Total de Tiempo Jugado,Spielzeit insgesamt,Tempo Giocato,Tempo Total Jogado,,Времени в игре,,,,,Total spelad tid,Totale speeltijd,Łączny Czas Gry,,総プレイ時間,总游戏时长,總遊玩時長,총 플레이 시간,,Teljes játékidő,Timpul total de joc,,,סך כל הזמן ששיחקתם,,,,
STATS_TOTAL_SCORE,,Total Score,Score total,Puntuación Total,Punkte insgesamt,Punteggio Totale,Pontuação Total,,Общий счет,,,,,Total antal pöang,Totale score,Łączny Wynik,,Total Score,总游戏分数,總遊戲分數,총 점수,,Összpontszám,Scor total,,,התוצאה הסופית,,,,
STATS_HAND_DISTANCE_TRAVELLED,,Hand Distance Travelled,Distance parcourue par les mains,Distancia de Mano Recorrida,Mit der Hand zurückgelegte Distanz,Distanza Mano Percorsa,Distância da Mão Percorrida,,Пройденное руками расстояние,,,,,Total handdistans,Afstand Afgelegd Met Handen,Przebyty Dystans Rąk,,手の移動距離,手部移动距离,手部移動距離,손 이동거리,,Kezeid által megtett távolság,Distanța parcursă de mână,,,מרחק שעברתם עם ידכם,,,,
STATS_GOOD_CUTS,,Good Cuts,Coups réussis,Buenos Cortes,Gute Schläge,Tagli Buoni,Bons Cortes,,Разрезано,,,,,Bra skärningar,Goede Cuts,Dobre Cięcia,,Good Cuts,正确挥砍,良好揮砍,굿 컷,,Helyes vágások,Tăieturi bune,,,חיתוכים טובים,,,,
STATS_BAD_CUTS,,Bad Cuts,Mauvais coups,Malos Cortes,Schlechte Schläge,Tagli Errati,Cortes Ruins,,Плохие разрезы,,,,,Dåliga skärningar,Slechte Cuts,Złe Cięcia,,Bad Cuts,错误挥砍,不良揮砍,잘못 자른 횟수,,Helytelen vágások,Tăieturi proaste,,,חיתוכים מעפנים,,,,
STATS_MISSED_NOTES,,Missed Notes,Notes manquées,Notas Perdidas,Verpasste Noten,Note Mancate,Notas Perdidas,,Пропущено нот,,,,,Missade notes,Gemiste Noten,Pominięte Bloki,,Missed Notes,遗漏音符,Miss 數量,놓친 음표,,Kihagyott hangjegyek,Note ratate,,,קוביות שפספסתם,,,,
STATS_FULL_COMBO,,Full Combo,Combo complet,Combo completo,Volle Komboombo,Full Combo,Combo Completo,,Полное комбо,,,,,Full combo,Volledige Combo,Pełne Kombo,,Full Combo,全连,全接,풀 Combo,,Teljes kombó,Combo complet,,,ללא פספוסים,,,,
STATS_AVERAGE_CUT_SCORE,,Average Cut Score,Score de coup moyen,Puntuación de Cortes Promedio,Durchschnittliche Schlagpunkte,Punteggio Medio Dei Tagli,Pontuação Média dos Cortes,,Средний счет разреза,,,,,Genomsnitlig cut,Gemiddelde Cut Score,Średni Wynik Cięcia,,平均カットスコア,平均挥砍分数,平均揮砍分數,평균 컷 스코어,,Átlagos vágási pontszám,Scor mediu,,,ניקוד ממוצע,,,,
STATS_MAX_COMBO,,Max Combo,Meilleur combo,Combo máximo,Max. Kombo,Combo Massima,Combo Máximo,,Макс. комбо,,,,,Max combo,Max. Combo,Maksymalne Kombo,,Max Combo,最大连击,最大連擊,최대 Combo,,Legnagyobb kombó,Combo maxim,,,הכי הרבה ללא פספוס,,,,
STATS_HIGHSCORE,,Highscore,Meilleur score,Alta Puntuación,Bestleistung,Punteggio Record,Recorde,,Рекорд,,,,,Rekord,Topscore,Najwyższy Wynik,,Highscore,最高分数,最高分數,하이스코어,,Legmagasabb pontszám,Top scor,,,הניקוד הכי טוב,,,,
STATS_MAX_RANK,,Max Rank,Meilleur rang,Rango Máximo,Max. Rang,Rango Massimo,Classificação Máxima,,Макс. ранг,,,,,Max rank,Hoogste rang,Najwyższa Ranga,,Max Rank,最高评级,最高評價,최대 순위,,Legmagasabb rang,Rang maxim,,,הדרגה הגבוהה ביותר,,,,
STATS_RANK,,rank,rang,rango,rang,rango,posição,,ранг,,,,,Rank,rang,ranga,,rank,评级,評價,순위,,rang,rang,,,דרגה,,,,
STATS_SCORE,,score,score,puntuación,punkte,punteggio,pontuação,,счёт,,,,,Pöang,score,wynik,,Score,分数,分數,스코어,,pontszám,scor,,,תוצאה,,,,
STATS_DIFFICULTY,,Difficulty,Difficulté,Dificultad,Schwierigkeitsgrad,Difficoltà,Dificuldade,,Сложность,,,,,Svårighet,Niveau,Poziom trudności,,難易度,难度,難度,난이도,,Nehézség,Dificultate,,,רמת קושי,,,,
INFO_BOMBS_COUNT,,Bombs Count,Nombre de bombes,Conteo de Bombas,Bombenanzahl,Numero Bombe,Quantidade de Bombas,,Кол-во бомб,,,,,Antal bomber,Aantal Bommen,Ilość Bomb,,爆弾数,炸弹数量,炸彈數量,폭탄 수,,Bombák száma,Număr de bombe,,,מספר הפצצות,,,,
INFO_OBSTACLES_COUNT,,Obstacles Count,Nombre d'obstacles,Conteo de Obstáculos,Hindernisanzahl,Numero Ostacoli,Contagem de Obstáculos,,Кол-во препятствий,,,,,Antal hinder,Aantal Obstakels,Ilość Przeszkód,,障害物の数,障碍物数量,障礙物數量,장애물 수,,Akadályok száma,Numărul de obstacole,,,כמות הקירות,عدد العقبات,,,
